OrderID,OrderDate,CustomerName,Region,ProductCategory,Product,Quantity,UnitPrice,Discount
1001,06-23-2025,Sara Ali,SOUTH,Electronics,Laptop,2,115.49,0
1002,05-10-2025,Aisha Khan,West,Electronics,Headphones,1,51.38,0.05
1003,26/02/2025,Arjun Nambiar,South,Electronics,Headphones,-2,352.16,0.15
1004,25/02/2025,Arjun Nambiar,South,Stationery,Notebook,4,173.42,0.05
1005,2025-03-09,Rohan Mehta,West,Electronics,Laptop,3,424.51,
1006,04-03-2025,Rohan Mehta,West,Clothing,T-Shirt,5,150.12,
1007,2025-03-01,Divya Menon,North,Furniture,Office Chair,2,387.67,0
1008,02-23-2025,Divya Menon,West,Clothing,Cap,3,85.51,0.1
1009,11/02/2025,Divya Menon,north,Stationery,Notebook,2,269.4,0.05
1010,2025-07-16,Arjun Nambiar,SOUTH,Clothing,Cap,5,113.71,0.1
1011,03/07/2025,Neha Gupta,East,Furniture,Office Chair,3,37.76,
1012,03-05-2025,Divya Menon,West,Furniture,Cabinet,4,75.72,0.05
1013,11/05/2025,Neha Gupta,north,Stationery,Sticky Notes,3,113.56,0.05
1014,2025-06-02,Priya Nair,North,Electronics,Laptop,-2,84.19,0.15
1015,01-03-2025,Farhan Sheikh,north,Clothing,Socks,5,129.45,
1016,2025-04-22,,East,Electronics,Headphones,-2,173.39,0.1
1017,2025-05-10,Arjun Nambiar,SOUTH,Clothing,T-Shirt,3,486.08,0.05
1018,01-01-2025,Vikram Singh,South,Stationery,Pen Set,2,271.99,
1019,2025-03-03,Rohan Mehta,North,Stationery,Sticky Notes,3,439.97,0.1
1020,2025-07-16,Arjun Nambiar,North,Furniture,Office Chair,4,408.93,
1021,2025-04-19,Priya Nair,north,Furniture,Cabinet,3,266.2,
1022,2025-04-26,Divya Menon,West,Furniture,Bookshelf,-2,189.84,
1023,2025-05-31,Vikram Singh,North,Furniture,Desk,1,296.21,0.05
1024,2025-03-26,Divya Menon,SOUTH,Electronics,Laptop,1,118.33,0
1025,28/05/2025,Farhan Sheikh,SOUTH,Furniture,Bookshelf,2,271.92,
1026,01/04/2025,Karan Shah,West,Furniture,Cabinet,1,52.98,0.15
1027,16/01/2025,Aisha Khan,SOUTH,Clothing,Socks,-2,328.46,0
1028,2025-04-19,Karan Shah,South,Stationery,Notebook,2,270.46,0.05
1029,2025-01-26,Rohan Mehta,South,Stationery,Sticky Notes,4,404.97,
1030,2025-04-13,Priya Nair,South,Electronics,Laptop,4,245.39,0.05
1031,15/03/2025,Neha Gupta,North,Furniture,Cabinet,3,463.63,0.15
1032,07-08-2025,Sara Ali,South,Clothing,Jacket,2,484.51,
1033,2025-02-10,Aisha Khan,North,Electronics,Keyboard,5,241.01,
1034,2025-04-14,Imran Qureshi,North,Electronics,Mouse,1,339.23,0.05
1035,14/05/2025,Rohan Mehta,north,Furniture,Office Chair,4,330.4,
1036,02-03-2025,Arjun Nambiar,SOUTH,Stationery,Pen Set,3,123.15,0.15
1037,2025-05-25,,East,Stationery,Sticky Notes,1,9.61,
1038,2025-01-18,Anjali Rao,South,Electronics,Headphones,3,70.57,0.1
1039,07-26-2025,Farhan Sheikh,South,Stationery,Stapler,5,353.25,
1040,2025-03-09,Divya Menon,East,Electronics,Headphones,1,469.77,0.05
1041,02-22-2025,Sara Ali,South,Electronics,Headphones,3,304.39,0.1
1042,2025-01-12,Aisha Khan,East,Stationery,Sticky Notes,1,318.97,0.1
1043,30/06/2025,Sara Ali,SOUTH,Stationery,Pen Set,2,371.91,
